fips,county,state,year,candidate,vote
8103,Rio Blanco,Colorado,2016,Trump,2791
8091,Ouray,Colorado,2016,Clinton,1697
8091,Ouray,Colorado,2016,Trump,1351
8065,Lake,Colorado,2016,Clinton,1616
8065,Lake,Colorado,2016,Trump,1270
8027,Custer,Colorado,2016,Clinton,797
8027,Custer,Colorado,2016,Trump,2061
8109,Saguache,Colorado,2016,Clinton,1417
8109,Saguache,Colorado,2016,Trump,1147
8121,Washington,Colorado,2016,Clinton,296
8121,Washington,Colorado,2016,Trump,2299
8073,Lincoln,Colorado,2016,Clinton,409
8073,Lincoln,Colorado,2016,Trump,1892
8095,Phillips,Colorado,2016,Clinton,436
8095,Phillips,Colorado,2016,Trump,1791
8009,Baca,Colorado,2016,Clinton,283
8009,Baca,Colorado,2016,Trump,1753
8011,Bent,Colorado,2016,Clinton,590
8011,Bent,Colorado,2016,Trump,1188
8023,Costilla,Colorado,2016,Clinton,1125
8023,Costilla,Colorado,2016,Trump,588
8025,Crowley,Colorado,2016,Clinton,339
8025,Crowley,Colorado,2016,Trump,1079
8115,Sedgwick,Colorado,2016,Clinton,267
8115,Sedgwick,Colorado,2016,Trump,1015
8033,Dolores,Colorado,2016,Clinton,242
8033,Dolores,Colorado,2016,Trump,944
8017,Cheyenne,Colorado,2016,Clinton,132
8017,Cheyenne,Colorado,2016,Trump,925
8057,Jackson,Colorado,2016,Clinton,171
8057,Jackson,Colorado,2016,Trump,629
8061,Kiowa,Colorado,2016,Clinton,91
8061,Kiowa,Colorado,2016,Trump,728
8079,Mineral,Colorado,2016,Clinton,237
8079,Mineral,Colorado,2016,Trump,344
8053,Hinsdale,Colorado,2016,Clinton,197
8053,Hinsdale,Colorado,2016,Trump,339
8111,San Juan,Colorado,2016,Clinton,265
8111,San Juan,Colorado,2016,Trump,215
9001,Fairfield,Connecticut,2016,Clinton,238723
9001,Fairfield,Connecticut,2016,Trump,155457
9003,Hartford,Connecticut,2016,Clinton,233789
9003,Hartford,Connecticut,2016,Trump,147912
9005,Litchfield,Connecticut,2016,Clinton,39836
9005,Litchfield,Connecticut,2016,Trump,53376
9007,Middlesex,Connecticut,2016,Clinton,45306
