CD,Incumbent,Party,Clinton 2016,Trump 2016,Obama 2012,Romney 2012,Obama 2008,McCain 2008
FL-05,"Lawson, Al",Dem,61.3,35.9,63.6,35.4,63.2,35.9
FL-06,"DeSantis, Ron",Rep,39.9,56.9,46.6,52.2,50.1,48.7
FL-07,"Murphy, Stephanie",Dem,51.4,44.1,49.4,49.4,51.1,48
FL-08,"Posey, Bill",Rep,37.7,58.4,42.1,56.6,43.8,54.9
FL-09,"Soto, Darren",Dem,54.8,41.9,55.6,43.4,54.6,44.5
FL-10,"Demings, Val",Dem,61.8,34.9,60.7,38.4,60.9,38.5
FL-11,"Nugent, Rich",Rep,32.5,64.8,39.8,59.2,42.6,56.1
FL-12,"Bilirakis, Gus",Rep,38.8,57.4,45.5,53,47.4,51.2
FL-13,"Crist, Charlie",Dem,49.6,46.4,54.6,43.9,55.5,43
FL-14,"Castor, Kathy",Dem,57.2,39,57.6,41.2,58.1,40.9
FL-15,"Ross, Dennis",Rep,43.1,53.1,46.6,52.2,46.7,52.1
FL-16,"Buchanan, Vern",Rep,43,53.7,45.1,53.7,47.7,51.2
FL-17,"Rooney, Tom",Rep,35,62.2,41.3,57.6,43.9,54.7
FL-18,"Mast, Brian",Rep,44.1,53.3,47.7,51.4,51.2,47.9
FL-19,"Rooney, Francis",Rep,37.5,59.6,38.7,60.5,42.3,56.8
FL-20,"Hastings, Alcee",Dem,80.2,18.1,82.5,17.1,80.9,18.6
FL-21,"Frankel, Lois",Dem,58.6,39.1,60.4,38.9,63.4,35.9
FL-22,"Deutch, Ted",Dem,56.8,41,56.3,43,58.3,41
FL-23,"Wasserman Schultz, Debbie",Dem,61.9,35.8,61.4,38,62,37.3
FL-24,"Wilson, Frederica",Dem,83,15.3,85.7,13.9,84,15.6
FL-25,"Diaz-Balart, Mario",Rep,47.9,49.6,44.9,54.5,40.6,58.8
FL-26,"Curbelo, Carlos",Rep,56.7,40.6,55.4,43.9,51.5,47.9
FL-27,"Ros-Lehtinen, Ileana",Rep,58.6,38.9,53,46.3,50.1,49.3
GA-01,"Carter, Buddy",Rep,40.9,56.4,43,55.9,44.4,55
GA-02,"Bishop, Sanford",Dem,55,43.3,58.6,40.8,57.9,41.6
GA-03,"Ferguson, Drew",Rep,32.8,64.3,33,65.9,34,65.3
GA-04,"Johnson, Hank",Dem,75.3,22.2,73.6,25.6,73.2,26.3
GA-05,"Lewis, John",Dem,85,11.9,83.1,15.8,84.4,15
GA-06,,Rep,46.8,48.3,37.5,60.8,40.1,59
GA-07,"Woodall, Rob",Rep,44.8,51.1,38.3,60.2,39.1,60.1
GA-08,"Scott, Austin",Rep,34.4,63.3,37.5,61.6,37.8,61.6
GA-09,"Collins, Doug",Rep,19.3,77.8,20.5,78.1,24.3,74.7
GA-10,"Hice, Jodi",Rep,35.8,61.3,36.3,62.5,38.8,60.4
GA-11,"Loudermilk, Barry",Rep,35.3,60.3,31.5,66.9,34.7,64.3
