fips,election,candidate,party,vote
4003,2000,Albert Gore Jr.,Democratic,13360
4003,2000,Ralph Nader,Green,1113
4003,2000,Patrick Buchanan,Reform,315
4003,2000,L. Neil Smith,Libertarian,199
4003,2000,Write-ins,-,37
4003,2000,John Hagelin,Natural Law,34
4003,2000,Howard Phillips,Write-in,3
4017,2000,George W. Bush,Republican,12386
4017,2000,Albert Gore Jr.,Democratic,11794
4017,2000,Ralph Nader,Green,517
4017,2000,Patrick Buchanan,Reform,266
4017,2000,L. Neil Smith,Libertarian,156
4017,2000,John Hagelin,Natural Law,28
4001,2000,Albert Gore Jr.,Democratic,13025
4001,2000,George W. Bush,Republican,5947
4001,2000,Ralph Nader,Green,245
4001,2000,Patrick Buchanan,Reform,135
4001,2000,L. Neil Smith,Libertarian,66
4001,2000,Write-ins,-,23
4001,2000,John Hagelin,Natural Law,15
4007,2000,George W. Bush,Republican,9158
4007,2000,Albert Gore Jr.,Democratic,7700
4007,2000,Ralph Nader,Green,497
4007,2000,Patrick Buchanan,Reform,227
4007,2000,L. Neil Smith,Libertarian,129
4007,2000,John Hagelin,Natural Law,25
4023,2000,Albert Gore Jr.,Democratic,5233
4023,2000,George W. Bush,Republican,3344
4023,2000,Ralph Nader,Green,217
4023,2000,Patrick Buchanan,Reform,44
4023,2000,L. Neil Smith,Libertarian,41
4023,2000,John Hagelin,Natural Law,14
4009,2000,George W. Bush,Republican,6007
4009,2000,Albert Gore Jr.,Democratic,3355
4009,2000,Ralph Nader,Green,144
4009,2000,Patrick Buchanan,Reform,131
4009,2000,L. Neil Smith,Libertarian,20
4009,2000,John Hagelin,Natural Law,7
4012,2000,George W. Bush,Republican,2543
4012,2000,Albert Gore Jr.,Democratic,1769
4012,2000,Ralph Nader,Green,91
4012,2000,Patrick Buchanan,Reform,53
4012,2000,L. Neil Smith,Libertarian,24
4012,2000,John Hagelin,Natural Law,3
4011,2000,George W. Bush,Republican,1619
4011,2000,Albert Gore Jr.,Democratic,1216
4011,2000,Ralph Nader,Green,68
4011,2000,Patrick Buchanan,Reform,42
4011,2000,L. Neil Smith,Libertarian,12
4011,2000,John Hagelin,Natural Law,3
5119,2000,Albert Gore Jr.,Democratic,68320
5119,2000,George W. Bush,Republican,55866
5119,2000,Ralph Nader,Green,1756
5119,2000,Patrick Buchanan,Reform,595
5119,2000,Harry Browne,Libertarian,416
5119,2000,John Hagelin,Natural Law,121
5119,2000,Howard Phillips,Constitutional,77
5007,2000,George W. Bush,Republican,34838
5007,2000,Albert Gore Jr.,Democratic,17277
5007,2000,Ralph Nader,Green,862
5007,2000,Patrick Buchanan,Reform,368
5007,2000,Harry Browne,Libertarian,175
5007,2000,John Hagelin,Natural Law,72
5007,2000,Howard Phillips,Constitutional,54
5143,2000,George W. Bush,Republican,28231
5143,2000,Albert Gore Jr.,Democratic,21425
5143,2000,Ralph Nader,Green,1208
5143,2000,Patrick Buchanan,Reform,325
5143,2000,Harry Browne,Libertarian,187
5143,2000,Howard Phillips,Constitutional,51
5143,2000,John Hagelin,Natural Law,32
5125,2000,George W. Bush,Republican,18617
5125,2000,Albert Gore Jr.,Democratic,12700
5125,2000,Ralph Nader,Green,533
5125,2000,Patrick Buchanan,Reform,336
5125,2000,Harry Browne,Libertarian,114
5125,2000,John Hagelin,Natural Law,46
5125,2000,Howard Phillips,Constitutional,45
5045,2000,George W. Bush,Republican,16055
5045,2000,Albert Gore Jr.,Democratic,11950
5045,2000,Ralph Nader,Green,513
5045,2000,Patrick Buchanan,Reform,432
5045,2000,John Hagelin,Natural Law,115
5045,2000,Harry Browne,Libertarian,112
5045,2000,Howard Phillips,Constitutional,39
5131,2000,George W. Bush,Republican,23483
5131,2000,Albert Gore Jr.,Democratic,15555
5131,2000,Ralph Nader,Green,503
5131,2000,Patrick Buchanan,Reform,398
5131,2000,Harry Browne,Libertarian,162
5131,2000,Howard Phillips,Constitutional,37
5131,2000,John Hagelin,Natural Law,21
5051,2000,George W. Bush,Republican,19098
5051,2000,Albert Gore Jr.,Democratic,15840
